id | TEV NAME | TYPE | RA (J2000) | Dec (J2000) | INTEGRAL FLUX | Distance
1 | TeV J0006+7259 | PWN/SNR | 1.608 | 72.9836 | - | -
2 | TeV J0013-1853 | HBL | 3.4667 | -18.8914 | 0.83 | 0.095
3 | TeV J0025+6410 | SNR | 6.3625 | 64.1806 | 0.187 | -
4 | TeV J0033-1921 | HBL | 8.393 | -19.3593 | - | 0.61
5 | TeV J0035+5947 | HBL | 8.8200 | 59.7900 | 7.1 | -
6 | TeV J0047-2517 | Starburst | 11.8929 | -25.2896 | 0.56 | 0.000811
7 | TeV J0136+3905 | HBL | 24.135 | 39.0999 | - | -
8 | TeV J0152+0146 | HBL | 28.1396 | 1.7779 | 2.7 | 0.08
9 | TeV J0205+6451 | PWN | 31.379 | 64.8500 | 0.14 | -
10 | TeV J0221+3556 | Blazar | 35.273 | 35.9371 | - | 0.944
11 | TeV J0222+4302 | IBL | 35.665 | 43.0355 | 45 | 0.444
12 | TeV J0223+4259 | UNID | 35.797 | 42.9921 | 7.3 | -
13 | TeV J0232+2016 | HBL | 38.2217 | 20.2725 | 0.94 | 0.14
14 | TeV J0240+6115 | XRB | 40.142 | 61.2569 | 2.2 | -
15 | TeV J0303-2407 | HBL | 45.8479 | -24.1266 | 3.3 | 0.266
16 | TeV J0316+4119 | AGN | 49.179 | 41.3247 | 3.1 | 0.0189
17 | TeV J0319+1845 | HBL | 49.946 | 18.7617 | 1.5 | 0.190
18 | TeV J0319+4130 | FRI | 49.950 | 41.5117 | 13 | 0.0179
19 | TeV J0349-1158 | HBL | 57.3458 | -11.9772 | 3.9 | 0.188
20 | TeV J0416+0105 | HBL | 64.2207 | 1.0890 | 1.88 | 0.287
21 | TeV J0449-4350 | HBL | 72.3675 | -43.8367 | 3.3 | -
22 | TeV J0507+6737 | HBL | 76.984 | 67.6234 | - | 0.341
23 | TeV J0521+2112 | IBL | 80.4375 | 21.2143 | 19.3 | -
24 | TeV J0525-6938 | SNR/MC | 81.259 | -69.6442 | - | -
25 | TeV J0534+2200 | PWN | 83.630 | 22.0144 | - | -
26 | TeV J0535-6911 | Superbubble | 83.979 | -69.1861 | - | -
27 | TeV J0537-6909 | PWN | 84.433 | -69.1658 | - | -
28 | TeV J0550-3216 | HBL | 87.6600 | -32.2702 | 2.7 | 0.069
29 | TeV J0616+2230 | SNR | 94.213 | 22.5031 | 4.63 | -
30 | TeV J0632+0548 | XRB | 98.243 | 5.8056 | 8.8 | -
31 | TeV J0632+1722 | PWN | 98.117 | 17.3667 | - | -
32 | TeV J06481516 | HBL | 102.1900 | 15.2700 | - | 0.179
33 | TeV J0650+2503 | HBL | 102.694 | 25.0500 | - | 0.41
34 | TeV J0710+5909 | HBL | 107.610 | 59.1500 | 3.9 | 0.125
35 | TeV J0721+7120 | LBL | 110.472 | 71.3434 | 7.5 | 0.31
36 | TeV J0809+5219 | HBL | 122.496 | 52.3167 | 2.2 | 0.138
37 | TeV J0835-4536 | PWN | 128.750 | -45.6000 | 21.0 | -
38 | TeV J0847+1133 | HBL | 131.804 | 11.5640 | - | 0.198
39 | TeV J0852-4622 | SNR | 133.000 | -46.3667 | 15.2 | -
40 | TeV J0955+6940 | Starburst | 148.970 | 69.6802 | 0.37 | 0.000677
41 | TeV J0958+6533 | FSRQ | 149.696 | 65.5653 | 2.0 | 0.368
42 | TeV J1010-3118 | HBL | 152.5626 | -31.3051 | 2.35 | 0.14
43 | TeV J1015+4926 | HBL | 153.767 | 49.4336 | 15.8 | 0.212
44 | TeV J1016-5858 | PWN | 154.129 | -58.9800 | 0.36 | -
45 | TeV J1018-5856 | BIN | 154.7471 | -58.9361 | 0.25 | -
